Hourly measurement data supplied by UK-air on 20/04/2024
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Cambridge Roadside",,,,,
Latitude,,52.202370,,,,,,
Longitude,,0.124456,,,,,,
Site Type,,Urban Traffic,,,,,,
Zone,,Eastern,,,,,,
Agglomeration,,#N/A,,,,,,
Local Authority,,"Cambridge",,,,,,
Date,Time,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status
2019-01-06,22:00:00,23.2854,V ugm-3,31.36251,V ugm-3,67.06629,V ugm-3
2019-01-06,23:00:00,41.88575,V ugm-3,35.86129,V ugm-3,100.0852,V ugm-3
2019-01-06,24:00:00,32.06113,V ugm-3,34.95733,V ugm-3,84.11704,V ugm-3
2019-01-07,01:00:00,18.10478,V ugm-3,25.42249,V ugm-3,53.18276,V ugm-3
2019-01-07,02:00:00,4.1529,V ugm-3,21.0908,V ugm-3,27.45849,V ugm-3
2019-01-07,03:00:00,5.56442,V ugm-3,21.38331,V ugm-3,29.9153,V ugm-3
2019-01-07,04:00:00,3.39465,V ugm-3,21.51278,V ugm-3,26.71783,V ugm-3
2019-01-07,05:00:00,3.35965,V ugm-3,15.93023,V ugm-3,21.08162,V ugm-3
2019-01-07,06:00:00,4.47953,V ugm-3,14.48407,V ugm-3,21.35259,V ugm-3
2019-01-07,07:00:00,18.40808,V ugm-3,24.34323,V ugm-3,52.56856,V ugm-3
2019-01-07,08:00:00,50.46473,V ugm-3,38.92299,V ugm-3,116.30116,V ugm-3
2019-01-07,09:00:00,52.49452,V ugm-3,39.49591,V ugm-3,119.98638,V ugm-3
2019-01-07,10:00:00,41.82063,V ugm-3,36.40652,V ugm-3,100.53059,V ugm-3
2019-01-07,11:00:00,46.09019,V ugm-3,35.2794,V ugm-3,105.95003,V ugm-3
2019-01-07,12:00:00,26.28226,V ugm-3,33.78484,V ugm-3,74.08373,V ugm-3
2019-01-07,13:00:00,33.17654,V ugm-3,32.64358,V ugm-3,83.51355,V ugm-3
2019-01-07,14:00:00,27.61212,V ugm-3,30.82444,V ugm-3,73.16243,V ugm-3
2019-01-07,15:00:00,33.31652,V ugm-3,35.40963,V ugm-3,86.49425,V ugm-3
2019-01-07,16:00:00,29.64191,V ugm-3,32.04769,V ugm-3,77.49798,V ugm-3
2019-01-07,17:00:00,25.09238,V ugm-3,33.27893,V ugm-3,71.75337,V ugm-3
2019-01-07,18:00:00,20.40287,V ugm-3,29.79311,V ugm-3,61.07708,V ugm-3
2019-01-07,19:00:00,16.62327,V ugm-3,22.74436,V ugm-3,48.23301,V ugm-3
2019-01-07,20:00:00,7.94417,V ugm-3,16.54213,V ugm-3,28.72303,V ugm-3
2019-01-07,21:00:00,4.93449,V ugm-3,13.78649,V ugm-3,21.35259,V ugm-3
2019-01-07,22:00:00,5.49443,V ugm-3,14.49956,V ugm-3,22.92423,V ugm-3
2019-01-07,23:00:00,4.37454,V ugm-3,12.36889,V ugm-3,19.07642,V ugm-3
2019-01-07,24:00:00,2.76471,V ugm-3,8.06296,V ugm-3,12.30213,V ugm-3
2019-01-08,01:00:00,1.30777,V ugm-3,7.61678,V ugm-3,9.622,V ugm-3
2019-01-08,02:00:00,1.44789,V ugm-3,7.69132,V ugm-3,9.91139,V ugm-3
2019-01-08,03:00:00,0.91077,V ugm-3,7.06797,V ugm-3,8.46447,V ugm-3
2019-01-08,04:00:00,0.9458,V ugm-3,7.28556,V ugm-3,8.73577,V ugm-3
2019-01-08,05:00:00,1.08592,V ugm-3,7.45053,V ugm-3,9.11558,V ugm-3
2019-01-08,06:00:00,3.22273,V ugm-3,11.28212,V ugm-3,16.22356,V ugm-3
2019-01-08,07:00:00,14.92262,V ugm-3,25.08428,V ugm-3,47.96532,V ugm-3
2019-01-08,08:00:00,41.22988,V ugm-3,40.30869,V ugm-3,103.52696,V ugm-3
2019-01-08,09:00:00,39.65354,V ugm-3,43.48533,V ugm-3,104.28659,V ugm-3
2019-01-08,10:00:00,52.47439,V ugm-3,45.69352,V ugm-3,126.15313,V ugm-3
2019-01-08,11:00:00,45.67864,V ugm-3,40.107,V ugm-3,110.1466,V ugm-3
2019-01-08,12:00:00,41.26491,V ugm-3,37.86757,V ugm-3,101.13954,V ugm-3
2019-01-08,13:00:00,37.02632,V ugm-3,35.1968,V ugm-3,91.9697,V ugm-3
2019-01-08,14:00:00,36.2907,V ugm-3,37.62696,V ugm-3,93.27193,V ugm-3
2019-01-08,15:00:00,48.62113,V ugm-3,36.78895,V ugm-3,111.34031,V ugm-3
2019-01-08,16:00:00,52.05403,V ugm-3,41.07489,V ugm-3,120.88997,V ugm-3
2019-01-08,17:00:00,34.15389,V ugm-3,38.5702,V ugm-3,90.93877,V ugm-3
2019-01-08,18:00:00,37.55177,V ugm-3,39.92559,V ugm-3,97.50416,V ugm-3
2019-01-08,19:00:00,39.65354,V ugm-3,38.76476,V ugm-3,99.56602,V ugm-3
2019-01-08,20:00:00,17.26961,V ugm-3,30.00435,V ugm-3,56.48405,V ugm-3
2019-01-08,21:00:00,15.83339,V ugm-3,29.8191,V ugm-3,54.09663,V ugm-3
2019-01-08,22:00:00,10.33374,V ugm-3,26.26045,V ugm-3,42.1053,V ugm-3
2019-01-08,23:00:00,15.09777,V ugm-3,28.17981,V ugm-3,51.3294,V ugm-3
2019-01-08,24:00:00,8.37208,V ugm-3,24.27642,V ugm-3,37.11344,V ugm-3
2019-01-09,01:00:00,5.18931,V ugm-3,20.5816,V ugm-3,28.53843,V ugm-3
2019-01-09,02:00:00,2.15053,V ugm-3,16.3318,V ugm-3,19.62923,V ugm-3
2019-01-09,03:00:00,1.54277,V ugm-3,13.00827,V ugm-3,15.37381,V ugm-3
2019-01-09,04:00:00,1.43758,V ugm-3,11.43117,V ugm-3,13.63543,V ugm-3
2019-01-09,05:00:00,1.29733,V ugm-3,8.65838,V ugm-3,10.64759,V ugm-3
2019-01-09,06:00:00,1.82327,V ugm-3,10.45952,V ugm-3,13.25516,V ugm-3
2019-01-09,07:00:00,11.57076,V ugm-3,17.1347,V ugm-3,34.87629,V ugm-3
2019-01-09,08:00:00,35.90443,V ugm-3,35.72343,V ugm-3,90.77612,V ugm-3
2019-01-09,09:00:00,31.94232,V ugm-3,35.171,V ugm-3,84.14854,V ugm-3
2019-01-09,10:00:00,31.4865,V ugm-3,33.58829,V ugm-3,81.86692,V ugm-3
2019-01-09,11:00:00,38.46402,V ugm-3,31.58148,V ugm-3,90.55882,V ugm-3
2019-01-09,12:00:00,30.60993,V ugm-3,29.66288,V ugm-3,76.59745,V ugm-3
2019-01-09,13:00:00,27.20882,V ugm-3,30.3689,V ugm-3,72.08852,V ugm-3
2019-01-09,14:00:00,18.33791,V ugm-3,26.26102,V ugm-3,54.37876,V ugm-3
2019-01-09,15:00:00,22.51039,V ugm-3,28.06629,V ugm-3,62.58174,V ugm-3
2019-01-09,16:00:00,25.06999,V ugm-3,32.39895,V ugm-3,70.83906,V ugm-3
2019-01-09,17:00:00,43.12739,V ugm-3,40.56544,V ugm-3,106.69318,V ugm-3
2019-01-09,18:00:00,39.76135,V ugm-3,39.53364,V ugm-3,100.5002,V ugm-3
